A'Karonys	High Mage of the Empire, counted among the Empress's cadre of powerful sorcerers.<br>
Baran	One of the ancient Hounds of Shadow, mate to Blind and often pacing at Shadowthrone's side as a heavy, brutal hunter-beast of the Warren of Shadow.<br>
Baruk	Baruk was the High Alchemist and discreet leader of Darujhistan's nine-mage T'orrud Cabal, ruling from his Estate District manor and working to keep the city free of Malazan control; he ran a wide spy network of agents and familiars to safeguard its survival.<br>
Bellurdan	T'lan Imass-blooded High Mage serving the Empress alongside Tayschrenn.<br>
Blind	Scarred Hound of Shadow and favourite of Shadowthrone, its ruined eyes giving it its name yet leaving it no less cunning or deadly.<br>
Calot	Cadre mage of the Malazan 2nd Army and Tattersail's lover during the Genabackis campaign.<br>
Captain Stillis|Stillis	Captain of the guard at Simtal Estate outside Darujhistan.<br>
Cartheron Crust|Crust|Cartheron	A High Fist of the Malazan Empire in the Seven Cities, Cartheron Crust was a prominent figure in the Malazan Empire, serving as an admiral and a member of the Old Guard during Emperor Kellanved's era. He was known as the captain of the Ragstopper. During Laseen's rise to power, Cartheron and his brother, Urko Crust, were said to have "drowned," a euphemism for their defection from the empire. He also spent time in the Deadhouse.<br>
Challice D'Arle|Challice	Daughter of Estraysian D'Arle, a noblewoman of Darujhistan.<br>
Chert	Local bully in Darujhistan, often encountering misfortune around the Phoenix Inn.<br>
Choss	A Sub-commander of the Malaz 3rd Army at the Siege of Y'Ghatan under Dassem Ultor, alongside Amaron and Whiskeyjack. He was also Nok’s protege. After Dassem was wounded, Choss received a field promotion to High Fist and became interim commander of the Third Army. He was a wiry, battle-scarred man with a bushy tangled head of curly hair, a gold and russet beard, and thick, expressive brows. Being Napan, he presumably had blue-hued skin.<br>
Circle Breaker	Nervous city guard secretly serving as an agent of the Eel.<br>
Coll	Dispossessed Daru noble and drunk, friend to Murillio and Kruppe.<br>
Corporal Blues|Blues	Sixth Blade of the Crimson Guard, a veteran corporal among its elite.<br>
Cowl	High Mage of the Crimson Guard, feared for his subtle sorcery.<br>
Crokus Younghand|Crokus	Young Darujhistan thief whose rooftop exploits draw him into events far beyond simple burglary.<br>
Crone	Matriarchal leader of the Great Ravens inhabiting Moon's Spawn, commanding thousands of corvid kin with authority earned through immense age—over 120,000 years old, making her the eldest of her kind. Distinctive features marked her as formidable: glittering black eyes, enormous oily-feathered wings, and a notably broken beak that she referenced with dark humor. She maintained steadfast loyalty to Anomander Rake, serving as his favored aerial spy and critical intermediary, treating the ascendant as a near-equal rather than a master.<br>
Dancer	Deadly assassin and closest adviser to Emperor Kellanved, slain during Laseen's rise to power.<br>
Dassem Ultor|Dassem	Legendary First Sword of the Empire, said to have fallen outside Y'Ghatan in Seven Cities.<br>
D'Ebbin	A Malazan Fist, described as a short, round man with hairless bony eyebrows. He commanded the 4th Army's right flank under High Fist Anand during the Malazan civil war and the Battle of the Plains. He was later promoted to High Fist.<br>
Derudan	Witch of Tennes and member of the T'orrud Cabal.<br>
Doan	Largest of the Hounds of Shadow, first-born of Rood and its first mate Pallick, later slain by Anomander Rake and chained within the sword <i>Dragnipur</i>.<br>
Dujek Onearm|Dujek	High Fist commanding the Malazan armies in the Genabackis campaign, famed for his missing arm which had been severed just below the shoulder. He was considered one of the great commanders, inspiring a sense of security, stability and sanity in his followers. He despised tyranny.<br>
Eel	Mysterious master-spy whose hidden agents influence events in Darujhistan.<br>
Empress Laseen|Laseen	Ruler of the Malazan Empire, former head of the Claw who seized the throne from Kellanved.<br>
Estraysian D'Arle|Estraysian	Influential councilman of Darujhistan and rival to Turban Orr.<br>
Fingers	Sixth Blade of the Crimson Guard, noted for his quick hands and skill.<br>
Gamet	Veteran soldier serving as House Guard to the Paran family in Unta.<br>
Greymane|Stonewielder	A High Fist of the Malazan Empire who led the Korel campaign. He is known for his numerous encounters with the enigmatic Stormriders, from whom he received a grey blade, which led to him being known as Stonewielder.<br>
Ganrod	Hound of Shadow littermate to Doan, taken alongside its brother into <i>Dragnipur</i> on the Rhivi Plain.<br>
Gear	Youngest of the Hounds of Shadow, son of Blind and marked Seventh among Shadowthrone's servants, famed for hounding Hairlock from Shadow into the city of Pale.<br>
Hairlock	Bridgeburner cadre mage of the Malazan 2nd Army, infamous for his vicious temper, feud with High Mage Tayschrenn, and reckless dabbling in forbidden warrens that frighten even fellow soldiers.<br>
Horult	Tiste Andii night-hunter fighting under Anomander Rake.<br>
Hurtle	Great Raven roosting in Moon's Spawn under Crone and Anomander Rake, a young bird fond of sarcastic humour; on Rake's orders he patrolled the Rhivi Plain, witnessed Hairlock kill Kin Clip with warren sorcery, and reported back so Crone could warn Rake.<br>
Irilta	Phoenix Inn regular who helps keep order alongside Meese.<br>
Jorrick Sharplance	Officer of the Crimson Guard serving under Prince K'azz D'Avore.<br>
K'rul	Elder God credited as the maker of the warrens or paths of sorcery.<br>
Kallor	Brood's proud and ruthless second-in-command, burdened with a dark past.<br>
Kig Aven	Clan leader among the T'lan Imass.<br>
Kin Clip|Clip	One of the Great Ravens inhabiting Moon's Spawn. She served under Great Mother Crone, the raven matriarch, and worked alongside Anomander Rake. Her fellow great raven, Hurtle, twice referred to her as Kin Clip and once called her simply Clip, suggesting "Kin" may have functioned as a kinship indicator rather than part of her formal name.<br>
Korlat	Tiste Andii night-hunter and blood-kin to Serrat, serving under Rake.<br>
Kruppe	Portly, loquacious Daru schemer and regular at the Phoenix Inn, fond of referring to himself in the third person.<br>
Krute of Talient|Krute	Agent and fixer working for the Assassins' Guild in Darujhistan.<br>
Lim	Council member allied with Turban Orr in Darujhistan politics.<br>
Logros	Commander of the T'lan Imass clans bound to serve the Malazan Empire.<br>
Lorn	Adjunct to Empress Laseen, the cold and implacable representative of imperial will. Young and with long auburn hair, she was an accomplished rider capable of mastering a warhorse stallion bred of the finest lines of Seven Cities stock.<br> She carried an Otataral longsword which negated sorcery. Possibly the sword itself or her long association with it gave her the ability to know the patterns of sorcery and the pattern of the minds that used it.
Mammot	High Priest of D'riss and noted scholar in Darujhistan, uncle to Crokus Younghand.<br>
Meese	Tough regular at the Phoenix Inn, often seen guarding its doors with Irilta.<br>
Murillio	Polished courtier and swordsman who keeps company with Kruppe and the Phoenix Inn regulars.<br>
Nightchill	Reserved High Sorceress of the Empire whose power places her among its foremost mages.<br>
Ocelot	Clan Leader within the Assassins' Guild and Rallick Nom's superior.<br>
Onos T'oolan|Tool	Ancient T'lan Imass warrior travelling with Adjunct Lorn as a clanless champion.<br>
Orfantal	Young Tiste Andii night-hunter in Anomander Rake's service.<br>
Parald	High Mage of the T'orrud Cabal, working alongside Baruk in Darujhistan.<br>
Pran Chole	Bonecaster of the Kron T'lan Imass and shaman of his people.<br>
Pormqual	High Fist of the Seven Cities continent, based in Aren. He was described as tall, wiry, pale, and slope-shouldered with a thin, oiled face, wearing "clothes that would beggar a king." Despite owning stables of fine horses, he was a poor rider. Pormqual was despised by the Red Blades. During the Whirlwind rebellion, he readied to abandon Aren, evacuating his household and prized breeding stallions.<br>
Prince K'azz D'Avore|K'azz D'Avore	Prince and commander of the mercenary Crimson Guard.<br>
