Adept	Mostly used to specifically describe those able to interpret the Deck of Dragons.
Adjunct	The Adjunct serves as the Malazan Throne's supreme field commander and voice, empowered to lead Imperial legions, enforce edicts, and depose generals, while their otataral weapon nullifies sorcery around them.
Ahkrast Korvalain	Forkrul Assail Hold. It granted its wielders' voices great magical powers over the psyche. The hold itself was thought to create the ability for thought and consciousness in a world where thought never existed before.
Aral Gamelon	The Path of Demons.
Ascendant	Ascendants were individuals who had transcended death. In the time of the First Empire they had been called First Heroes. Ascendants could become gods if they gained sufficient following among mortals, but they were not gods by default. Those without worshippers were considered unchained, or Unaligned in the language of the Deck of Dragons. Gods who lost their worshippers remained ascendant, but were effectively emasculated unless worship was somehow renewed.<br>
Bhederin	Massive shaggy bison native to Genabackis, running in herds that can reach half a million. Bulls are huge and territorial; coats are reddish-brown with humped shoulders and short horns. The Rhivi follow their migrations, walk among and even ride them while also hunting them; cousins of the now-extinct bhed, their pounding hooves keep the plains’ thin soil packed.
Assassins' Guild	Darujhistan’s Assassins’ Guild was founded almost with the city; nobles often paid it to remove rivals and threats, and the ruling T’orrud Cabal tolerated it because it kept the nobility’s vendettas in check. The Guild was run by a master or mistress—called the Master of Assassins—and made up of rival clans, each based in its own “nest.”
Bonecaster	A Bonecaster is a shaman of the Imass people, and later the T'lan Imass. They are practitioners of magic, with T'lan Imass Bonecasters specifically utilizing the Warren of Tellann. Historically, they played a crucial role in the ritual that transformed the Imass into the undead T'lan Imass. Their abilities include 'spiritwalking' to perceive visions of the present and future, and sensing the earth to locate others or track prey. They are sometimes identified by their characteristic lack of weapons.
Chance	A sword dedicated to Oponn, the Twin Jesters of Chance. This weapon embodies the chaotic nature of luck and probability.
Chain of Dogs	The brutal overland evacuation of Malazan refugees across Seven Cities led by Coltaine’s 7th Army during the Whirlwind Rebellion.
Crimson Guard	Famous mercenary company commanded by the deposed Prince K'azz D'Avore, long-time enemies of the Malazan Empire and allies of Caladan Brood on Genabackis. They opposed the Empire on four continents and handed it its first major defeat at Stratem; their sigil was a silver dragon on a red field worn as a brooch on crimson cloaks, they wore blood-red tabards, and their native tongue was Talian.
Claw	The Claw is the elite intelligence and assassination agency of the Malazan Empire, answering directly to the Empress. They are a highly secretive and feared organization, known for their ruthless efficiency and unwavering loyalty. Claws are trained in a variety of skills, including espionage, infiltration, and assassination. They operate both within the Empire, to root out rebellion and corruption, and externally, to advance the Empire's interests. Each Claw undergoes intense physical and psychological conditioning, and their hands are surgically altered to resemble talons, which they use as deadly weapons.
D'ivers	A higher order of shape-shifting that allows an individual to take multiple forms simultaneously, splitting into many separate beings. This is more complex and dangerous than Soletaken transformation.
Deadhouse Warren	A specific section or gateway within the Imperial Warren.
Deck of Dragons|Fatid	The Deck of Dragons, sometimes called the Fatid, was the dominant oracular system across the world (except Lether, which used the Tiles); it could one day be succeeded by the Coins. The Deck comprised cards depicting members of the pantheon, adding new ones as needed, mostly aligned to Houses with a few unaligned cards that could even animate during a reading.<br>
Denaeth Rusen	Elder Warren of the Seas, Mael's Warren.
Denul	The Path of Healing.
Dragnipur	A sword wielded by Anomander Rake, forged by the Elder God Draconus. This legendary weapon traps the souls of those it slays within it, chaining them to pull a wagon bearing the Gate of Darkness for eternity.
Drift Avalii	A mysterious and ancient island, believed by some to be a former flying fortress. It is a significant location in the Malazan world, holding many secrets, including the presence of a mysterious 'sleeper' within it. The island is a place of power and is associated with the Throne of Shadow.
D'riss	The Path of Stone, turgid magenta, the colour of earth magic.
Elder Warrens	These are realms mostly used by some of the older races. Some are also described as Holds.
Finnest	An object used as a repository of power by a Jaghut. These artifacts contain immense magical energy and can be extremely dangerous if disturbed or misused.
Gathering	The term marked key convocations: the First Gathering of the Imass when Bonecaster Olar Ethil led the Ritual of Tellann 298,665 years before Burn's Sleep to bind them as T'lan Imass; The Barghast Gathering near Capustan where warchief Humbrall Taur summoned the White Face clans—Gilk, Barahn and others—to decide alliance and survival against the Pannion Domin.
Grallin	A figure in a legend Apsalar recounts, called the Lord of the Deep Waters. Grallin’s Sea on the moon bears his name; he lives in underwater gardens and will one day descend to take chosen mortals back to live in peace in his Gardens of the Moon.
Great Ravens|Ravens	The Great Ravens were massive ravens, larger than the norm, who were "born like maggots from the rotting corpse-flesh of the Chained God when he was pulled down into the world". As a result, they carried within them a fragment of his power. They were largely impervious to most forms of magic, with chaos being a notable exception. For them, magic was 'ambrosia', and if attacked with sorcery they would only grow stronger, more immune, and their life-spans - already centuries-long - would be even more extended.
High Fist	The title of a commander of armies in a Malazan Campaign. The High Fist was the highest ranking officer in a theatre of operations. Its naval equivalent rank was an Admiral. A High Fist could only be overruled by the Emperor or Empress him/herself or, by extension, his or her Adjunct.
High Mage	The title of High Mage was used for both military and civilian mages. In the military, it typically referred to the commander of a mage cadre in the Malazan Army. Among civilians, it was used for mages with particularly powerful skills. Some individuals were considered "Natural High Mages" for their talent, even if not officially recognized. The highest rank was the Imperial High Mage, the top-ranking mage in the entire Malazan Army.<br>
Hood's Path	The Path of Death.
Hounds of Shadow|Hound of Shadow|Hound	Servants of High House Shadow, believed to be more ancient than the Shadow Realm itself. Baran, Blind, Doan, Ganrod, Gear, Rood, and Shan: they are described as large, black, spectral dogs with glowing individually coloured eyes, relentless in their pursuit of prey.<br>
House Shadow	Mutable House in the Deck of Dragons, aligned with Shadowthrone and Cotillion, prowling the liminal paths of Shadow while recruiting wanderers and rogues for motives hidden from gods and mortals alike.
Imperial Warren	The Warren of the Malazan Empire, connecting many locations.
Kaschan	K'Chain Che'Malle Elder Warren, "Born of sounds beyond our hearing".
Kurald Emurlahn	Tiste Edur Elder Warren of Shadow. Also known as The Shattered Warren.
Kurald Galain	The Elder Warren of Darkness, domain of the Tiste Andii.
Kurald Liosan	Tiste Liosan Elder Warren of Light. Also known as Kurald Thyrllan.
Meanas	The Path of Shadow and Illusion.
Mockra	The Path of the Mind.
